zeit;stichprobe_n;threads;durchlauf_nr;dauer_gesamt_ms;durchsatz_pat_pro_s;mittel_ms_pro_patient;median_ms_pro_patient;p95_ms_pro_patient;stdabw_ms_pro_patient;anzahl_angefragt;anzahl_ok;anzahl_fehler
11.08.2025 16:09:30.793;10000;1;0;4687.798;2133.198;0.466;0.438;0.729;0.217;10000;10000;0
11.08.2025 16:09:30.793;10000;1;1;4517.235;2213.744;0.450;0.430;0.701;0.131;10000;10000;0
11.08.2025 16:09:30.793;10000;1;2;4470.912;2236.680;0.446;0.422;0.690;0.149;10000;10000;0
11.08.2025 16:09:30.793;10000;1;3;5012.862;1994.868;0.500;0.454;0.825;0.219;10000;10000;0
11.08.2025 16:09:30.793;10000;1;4;11464.476;872.260;1.144;0.777;2.069;3.891;10000;10000;0
11.08.2025 16:09:30.793;10000;1;5;6305.007;1586.041;0.629;0.552;1.046;0.460;10000;10000;0
11.08.2025 16:09:30.793;10000;1;6;4632.843;2158.502;0.462;0.438;0.777;0.172;10000;10000;0
11.08.2025 16:09:30.793;10000;1;7;4099.354;2439.409;0.409;0.354;0.688;0.161;10000;10000;0
11.08.2025 16:09:30.793;10000;1;8;4052.727;2467.474;0.404;0.354;0.688;0.154;10000;10000;0
11.08.2025 16:09:30.793;10000;1;9;4057.505;2464.569;0.405;0.355;0.683;0.158;10000;10000;0
11.08.2025 16:09:30.793;10000;1;10;4026.577;2483.499;0.402;0.350;0.691;0.150;10000;10000;0
11.08.2025 16:09:30.793;10000;1;11;3916.842;2553.077;0.391;0.332;0.661;0.136;10000;10000;0
11.08.2025 16:09:30.793;10000;1;12;4090.167;2444.888;0.408;0.358;0.677;0.163;10000;10000;0
11.08.2025 16:09:30.793;10000;1;13;3977.823;2513.938;0.397;0.338;0.674;0.155;10000;10000;0
11.08.2025 16:09:30.793;10000;1;14;4930.254;2028.293;0.492;0.451;0.843;0.372;10000;10000;0
11.08.2025 16:09:30.793;10000;1;15;4023.427;2485.443;0.401;0.345;0.689;0.154;10000;10000;0
11.08.2025 16:09:30.793;10000;1;16;3995.221;2502.991;0.399;0.346;0.668;0.139;10000;10000;0
11.08.2025 16:09:30.793;10000;1;17;4287.224;2332.512;0.428;0.408;0.706;0.162;10000;10000;0
